AGI,mRNA,description
AT5G06905,AT5G06905.1,"cytochrome P450, family 712, subfamily A, polypeptide 2 [Source:NCBI gene (formerly Entrezgene);Acc:830581]"
AT5G06910,AT5G06910.1,J-domain protein 6 [Source:NCBI gene (formerly Entrezgene);Acc:830582]
AT5G06920,AT5G06920.1,FASCICLIN-like arabinogalactan protein 21 [Source:NCBI gene (formerly Entrezgene);Acc:830583]
AT5G06930,AT5G06930.1,nucleolar-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830584]
AT5G06940,AT5G06940.1,Leucine-rich repeat receptor-like protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830585]
AT5G06950,AT5G06950.1,bZIP transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:830586]
AT5G06960,AT5G06960.1,OCS-element binding factor 5 [Source:NCBI gene (formerly Entrezgene);Acc:830587]
AT5G06970,AT5G06970.1,plant/protein (DUF810) [Source:NCBI gene (formerly Entrezgene);Acc:830588]
AT5G06980,AT5G06980.4,""
AT5G06990,AT5G06990.1,"MIZU-KUSSEI-like protein (Protein of unknown function, DUF617) [Source:NCBI gene (formerly Entrezgene);Acc:830590]"
AT5G07000,AT5G07000.1,sulfotransferase 2B [Source:NCBI gene (formerly Entrezgene);Acc:830591]
AT5G07010,AT5G07010.1,sulfotransferase 2A [Source:NCBI gene (formerly Entrezgene);Acc:830592]
AT5G07020,AT5G07020.1,proline-rich family protein [Source:NCBI gene (formerly Entrezgene);Acc:830593]
AT5G07030,AT5G07030.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:830594]
AT5G07040,AT5G07040.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830595]
AT5G07050,AT5G07050.1,nodulin MtN21 /EamA-like transporter family protein [Source:NCBI gene (formerly Entrezgene);Acc:830596]
AT5G07060,AT5G07060.1,CCCH-type zinc fingerfamily protein with RNA-binding domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830597]
AT5G07070,AT5G07070.1,CBL-interacting protein kinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:830598]
AT5G07080,AT5G07080.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830599]
AT5G07090,AT5G07090.1,Ribosomal protein S4 (RPS4A) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830600]
AT5G07100,AT5G07100.1,WRKY DNA-binding protein 26 [Source:NCBI gene (formerly Entrezgene);Acc:830601]
AT5G07110,AT5G07110.1,prenylated RAB acceptor 1.B6 [Source:NCBI gene (formerly Entrezgene);Acc:830602]
AT5G07120,AT5G07120.1,sorting nexin 2B [Source:NCBI gene (formerly Entrezgene);Acc:830603]
AT5G07130,AT5G07130.1,laccase 13 [Source:NCBI gene (formerly Entrezgene);Acc:830604]
AT5G07135,AT5G07135.1,""
AT5G07140,AT5G07140.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830605]
AT5G07150,AT5G07150.1,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830606]
AT5G07152,AT5G07152.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:28720868]
AT5G07160,AT5G07160.1,Basic-leucine zipper (bZIP) transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:830607]
AT5G07170,AT5G07170.1,Cell cycle regulated microtubule associated protein [Source:NCBI gene (formerly Entrezgene);Acc:830608]
AT5G07180,AT5G07180.1,ERECTA-like 2 [Source:NCBI gene (formerly Entrezgene);Acc:830609]
AT5G07190,AT5G07190.1,embryo-specific protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:830610]
AT5G07200,AT5G07200.1,gibberellin 20-oxidase 3 [Source:NCBI gene (formerly Entrezgene);Acc:830611]
AT5G07210,AT5G07210.1,response regulator 21 [Source:NCBI gene (formerly Entrezgene);Acc:830612]
AT5G07215,AT5G07215.1,
AT5G07220,AT5G07220.1,BCL-2-associated athano 3 [Source:NCBI gene (formerly Entrezgene);Acc:830613]
AT5G07225,AT5G07225.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:2745979]
AT5G07230,AT5G07230.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830614]
AT5G07240,AT5G07240.1,IQ-domain 24 [Source:NCBI gene (formerly Entrezgene);Acc:830615]
AT5G07250,AT5G07250.1,RHOMBOID-like protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:830616]
AT5G07260,AT5G07260.1,START (StAR-related lipid-transfer) lipid-binding domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830617]
AT5G07270,AT5G07270.1,""
AT5G07280,AT5G07280.1,Leucine-rich repeat transmembrane protein kinase [Source:NCBI gene (formerly Entrezgene);Acc:830619]
AT5G07290,AT5G07290.1,MEI2-like 4 [Source:NCBI gene (formerly Entrezgene);Acc:830620]
AT5G07300,AT5G07300.1,Calcium-dependent phospholipid-binding Copine family protein [Source:NCBI gene (formerly Entrezgene);Acc:830621]
AT5G07310,AT5G07310.1,Integrase-type DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830622]
AT5G07315,AT5G07315.1,""
AT5G07320,AT5G07320.1,Mitochondrial substrate carrier family protein [Source:NCBI gene (formerly Entrezgene);Acc:830623]
AT5G07322,AT5G07322.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:6241428]
AT5G07330,AT5G07330.1,NFU1 iron-sulfur cluster protein [Source:NCBI gene (formerly Entrezgene);Acc:830624]
AT5G07340,AT5G07340.2,Calreticulin family protein [Source:NCBI gene (formerly Entrezgene);Acc:830625]
AT5G07350,AT5G07350.2,TUDOR-SN protein 1 [Source:NCBI gene (formerly Entrezgene);Acc:830626]
AT5G07360,AT5G07360.1,Amidase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830627]
AT5G07370,AT5G07370.2,inositol polyphosphate kinase 2 alpha [Source:NCBI gene (formerly Entrezgene);Acc:830628]
AT5G07380,AT5G07380.3,""
AT5G07390,AT5G07390.1,respiratory burst oxidase homolog A [Source:NCBI gene (formerly Entrezgene);Acc:830630]
AT5G07400,AT5G07400.1,forkhead-associated domain-containing protein / FHA domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830631]
AT5G07410,AT5G07410.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830632]
AT5G07420,AT5G07420.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830633]
AT5G07430,AT5G07430.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830634]
AT5G07440,AT5G07440.1,glutamate dehydrogenase 2 [Source:NCBI gene (formerly Entrezgene);Acc:830635]
AT5G07450,AT5G07450.1,cyclin p4;3 [Source:NCBI gene (formerly Entrezgene);Acc:830636]
AT5G07460,AT5G07460.1,peptidemethionine sulfoxide reductase 2 [Source:NCBI gene (formerly Entrezgene);Acc:830637]
AT5G07470,AT5G07470.1,peptidemethionine sulfoxide reductase 3 [Source:NCBI gene (formerly Entrezgene);Acc:830638]
AT5G07475,AT5G07475.1,Cupredoxin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830639]
AT5G07480,AT5G07480.1,KAR-UP oxidoreductase 1 [Source:NCBI gene (formerly Entrezgene);Acc:830640]
AT5G07490,AT5G07490.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830641]
AT5G07500,AT5G07500.1,Zinc finger C-x8-C-x5-C-x3-H type family protein [Source:NCBI gene (formerly Entrezgene);Acc:830642]
AT5G07505,AT5G07505.1,
AT5G07510,AT5G07510.1,glycine-rich protein 14 [Source:NCBI gene (formerly Entrezgene);Acc:830644]
AT5G07520,AT5G07520.1,glycine-rich protein 18 [Source:NCBI gene (formerly Entrezgene);Acc:830645]
AT5G07530,AT5G07530.1,glycine rich protein 17 [Source:NCBI gene (formerly Entrezgene);Acc:830646]
AT5G07540,AT5G07540.1,glycine-rich protein 16 [Source:NCBI gene (formerly Entrezgene);Acc:830647]
AT5G07550,AT5G07550.1,glycine-rich protein 19 [Source:NCBI gene (formerly Entrezgene);Acc:830648]
AT5G07560,AT5G07560.1,glycine-rich protein 20 [Source:NCBI gene (formerly Entrezgene);Acc:830649]
AT5G07570,AT5G07570.1,glycine/proline-rich protein [Source:NCBI gene (formerly Entrezgene);Acc:830650]
AT5G07571,AT5G07571.1,Oleosin family protein [Source:NCBI gene (formerly Entrezgene);Acc:6240912]
AT5G07572,AT5G07572.1,""
AT5G07580,AT5G07580.1,ethylene-responsive transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:830651]
AT5G07590,AT5G07590.1,Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830652]
AT5G07600,AT5G07600.1,Oleosin family protein [Source:NCBI gene (formerly Entrezgene);Acc:830653]
AT5G07610,AT5G07610.1,F-box family protein [Source:NCBI gene (formerly Entrezgene);Acc:830654]
AT5G07620,AT5G07620.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830655]
AT5G07625,AT5G07625.1,""
AT5G07630,AT5G07630.1,lipid transporter [Source:NCBI gene (formerly Entrezgene);Acc:830656]
AT5G07640,AT5G07640.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830657]
AT5G07650,AT5G07650.1,Actin-binding FH2 protein [Source:NCBI gene (formerly Entrezgene);Acc:830658]
AT5G07660,AT5G07660.1,structural maintenance of chromosomes 6A [Source:NCBI gene (formerly Entrezgene);Acc:830659]
AT5G07670,AT5G07670.1,RNI-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830660]
AT5G07675,AT5G07675.1,""
AT5G07680,AT5G07680.1,NAC domain containing protein 80 [Source:NCBI gene (formerly Entrezgene);Acc:830661]
AT5G07685,AT5G07685.1,
AT5G07690,AT5G07690.1,myb domain protein 29 [Source:NCBI gene (formerly Entrezgene);Acc:830662]
AT5G07700,AT5G07700.1,myb domain protein 76 [Source:NCBI gene (formerly Entrezgene);Acc:830663]
AT5G07710,AT5G07710.1,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830664]"
AT5G07720,AT5G07720.1,Galactosyl transferase GMA12/MNN10 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830665]
AT5G07730,AT5G07730.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830666]
AT5G07740,AT5G07740.1,actin binding protein [Source:NCBI gene (formerly Entrezgene);Acc:3770686]
AT5G07760,AT5G07760.1,formin homology 2 domain-containing protein / FH2 domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830669]
AT5G07770,AT5G07770.1,Actin-binding FH2 protein [Source:NCBI gene (formerly Entrezgene);Acc:830670]
AT5G07780,AT5G07780.1,Actin-binding FH2 (formin homology 2) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830671]
AT5G07790,AT5G07790.1,""
AT5G07800,AT5G07800.1,Flavin-binding monooxygenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830673]
AT5G07810,AT5G07810.1,SNF2 domain-containing protein / helicase domain-containing protein / HNH endonuclease domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830674]
AT5G07820,AT5G07820.1,Plant calmodulin-binding protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830675]
AT5G07830,AT5G07830.1,glucuronidase 2 [Source:NCBI gene (formerly Entrezgene);Acc:830676]
AT5G07840,AT5G07840.1,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:830677]
AT5G07842,AT5G07842.1,
AT5G07850,AT5G07850.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830678]
AT5G07860,AT5G07860.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830679]
AT5G07870,AT5G07870.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830680]
AT5G07880,AT5G07880.1,synaptosomal-associated protein SNAP25-like 29 [Source:NCBI gene (formerly Entrezgene);Acc:830681]
AT5G07890,AT5G07890.1,myosin heavy chain-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830682]
AT5G07900,AT5G07900.1,Mitochondrial transcription termination factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:830684]
AT5G07910,AT5G07910.1,Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830685]
AT5G07920,AT5G07920.1,diacylglycerol kinase1 [Source:NCBI gene (formerly Entrezgene);Acc:830686]
AT5G07930,AT5G07930.3,MEI2 C-terminal RRM only like 2 [Source:NCBI gene (formerly Entrezgene);Acc:830687]
AT5G07940,AT5G07940.1,dentin sialophosphoprotein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830688]
AT5G07950,AT5G07950.1,""
AT5G07960,AT5G07960.1,asterix-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830690]
AT5G07970,AT5G07970.1,dentin sialophosphoprotein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830691]
AT5G07980,AT5G07980.1,dentin sialophosphoprotein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830692]
AT5G07990,AT5G07990.1,Cytochrome P450 superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830693]
AT5G08000,AT5G08000.1,"glucan endo-1,3-beta-glucosidase-like protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:830694]"
AT5G08010,AT5G08010.1,""
AT5G08020,AT5G08020.1,RPA70-kDa subunit B [Source:NCBI gene (formerly Entrezgene);Acc:830696]
AT5G08030,AT5G08030.1,PLC-like phosphodiesterases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830697]
AT5G08040,AT5G08040.1,mitochondrial import receptor subunit TOM5-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830698]
AT5G08050,AT5G08050.1,"wiskott-aldrich syndrome family protein, putative (DUF1118) [Source:NCBI gene (formerly Entrezgene);Acc:830699]"
AT5G08055,AT5G08055.1,Defensin-like (DEFL) family protein [Source:NCBI gene (formerly Entrezgene);Acc:3770608]
AT5G08060,AT5G08060.1,furry [Source:NCBI gene (formerly Entrezgene);Acc:830700]
AT5G08070,AT5G08070.1,TCP domain protein 17 [Source:NCBI gene (formerly Entrezgene);Acc:830701]
AT5G08075,AT5G08075.1,""
AT5G08080,AT5G08080.3,syntaxin of plants 132 [Source:NCBI gene (formerly Entrezgene);Acc:830702]
AT5G08090,AT5G08090.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830703]
AT5G08100,AT5G08100.1,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830704]
AT5G08110,AT5G08110.1,"UBQ, helicase-c and DEAD-like helicase domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830705]"
AT5G08120,AT5G08120.1,movement protein binding protein 2C [Source:NCBI gene (formerly Entrezgene);Acc:830707]
AT5G08130,AT5G08130.5,basic helix-loop-helix (bHLH) DNA-binding superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830708]
AT5G08139,AT5G08139.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830709]
AT5G08141,AT5G08141.1,basic leucine-zipper 75 [Source:NCBI gene (formerly Entrezgene);Acc:830710]
AT5G08150,AT5G08150.1,suppressor of phytochrome b 5 [Source:NCBI gene (formerly Entrezgene);Acc:830711]
AT5G08160,AT5G08160.1,serine/threonine protein kinase 3 [Source:NCBI gene (formerly Entrezgene);Acc:830712]
AT5G08170,AT5G08170.1,porphyromonas-type peptidyl-arginine deiminase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830713]
AT5G08180,AT5G08180.1,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830714]
AT5G08185,AT5G08185.2,ath-MIR162a [Source:miRBase;Acc:MI0000194]
AT5G08190,AT5G08190.1,"nuclear factor Y, subunit B12 [Source:NCBI gene (formerly Entrezgene);Acc:830715]"
AT5G08200,AT5G08200.1,peptidoglycan-binding LysM domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830716]
AT5G08210,AT5G08210.1,ath-MIR834 [Source:miRBase;Acc:MI0005390]
AT5G08220,AT5G08220.1,
AT5G08230,AT5G08230.1,tudor/PWWP/MBT domain protein [Source:NCBI gene (formerly Entrezgene);Acc:830719]
AT5G08240,AT5G08240.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830720]
AT5G08250,AT5G08250.1,Cytochrome P450 superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830721]
AT5G08260,AT5G08260.1,serine carboxypeptidase-like 35 [Source:NCBI gene (formerly Entrezgene);Acc:830722]
AT5G08270,AT5G08270.1,C5orf35 [Source:NCBI gene (formerly Entrezgene);Acc:830723]
AT5G08280,AT5G08280.1,hydroxymethylbilane synthase [Source:NCBI gene (formerly Entrezgene);Acc:830724]
AT5G08290,AT5G08290.1,"mRNA splicing factor, thioredoxin-like U5 snRNP [Source:NCBI gene (formerly Entrezgene);Acc:830725]"
AT5G08300,AT5G08300.1,"Succinyl-CoA ligase, alpha subunit [Source:NCBI gene (formerly Entrezgene);Acc:830726]"
AT5G08305,AT5G08305.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:10723051]
AT5G08310,AT5G08310.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830727]
AT5G08315,AT5G08315.1,Defensin-like (DEFL) family protein [Source:NCBI gene (formerly Entrezgene);Acc:3770708]
AT5G08320,AT5G08320.1,E2F-associated phosphoprotein [Source:NCBI gene (formerly Entrezgene);Acc:830728]
AT5G08330,AT5G08330.1,TCP family transcription factor [Source:NCBI gene (formerly Entrezgene);Acc:830730]
AT5G08335,AT5G08335.1,Isoprenylcysteine carboxyl methyltransferase (ICMT) family [Source:NCBI gene (formerly Entrezgene);Acc:830731]
AT5G08340,AT5G08340.1,Nucleotidylyl transferase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830732]
AT5G08350,AT5G08350.1,GRAM domain-containing protein / ABA-responsive protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830733]
AT5G08360,AT5G08360.1,"Stu1, putative (DUF789) [Source:NCBI gene (formerly Entrezgene);Acc:830734]"
AT5G08370,AT5G08370.1,alpha-galactosidase 2 [Source:NCBI gene (formerly Entrezgene);Acc:830735]
AT5G08380,AT5G08380.1,alpha-galactosidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:830736]
AT5G08390,AT5G08390.1,Transducin/WD40 repeat-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830737]
AT5G08391,AT5G08391.1,"transmembrane protein, putative (DUF 3339) [Source:NCBI gene (formerly Entrezgene);Acc:6241429]"
AT5G08400,AT5G08400.1,"structural maintenance of chromosomes-like protein, putative (DUF3531) [Source:NCBI gene (formerly Entrezgene);Acc:830738]"
AT5G08410,AT5G08410.1,ferredoxin/thioredoxin reductase subunit A (variable subunit) 2 [Source:NCBI gene (formerly Entrezgene);Acc:830739]
AT5G08415,AT5G08415.1,Radical SAM superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830740]
AT5G08420,AT5G08420.1,RNA-binding KH domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830741]
AT5G08430,AT5G08430.1,SWIB/MDM2 and Plus-3 and GYF domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830742]
AT5G08440,AT5G08440.2,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830743]
AT5G08450,AT5G08450.1,zinc finger CCCH domain protein [Source:NCBI gene (formerly Entrezgene);Acc:830744]
AT5G08460,AT5G08460.1,GDSL-like Lipase/Acylhydrolase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830745]
AT5G08470,AT5G08470.1,peroxisome 1 [Source:NCBI gene (formerly Entrezgene);Acc:830746]
AT5G08480,AT5G08480.2,VQ motif-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830747]
AT5G08490,AT5G08490.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830748]
AT5G08500,AT5G08500.1,Transmembrane CLPTM1 family protein [Source:NCBI gene (formerly Entrezgene);Acc:830749]
AT5G08505,AT5G08505.1,Defensin-like (DEFL) family protein [Source:NCBI gene (formerly Entrezgene);Acc:3770685]
AT5G08510,AT5G08510.1,Pentatricopeptide repeat (PPR) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830750]
AT5G08520,AT5G08520.1,Duplicated homeodomain-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830751]
AT5G08530,AT5G08530.1,51 kDa subunit of complex I [Source:NCBI gene (formerly Entrezgene);Acc:830752]
AT5G08535,AT5G08535.1,D111/G-patch domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830753]
AT5G08540,AT5G08540.1,ribosomal RNA small subunit methyltransferase J [Source:NCBI gene (formerly Entrezgene);Acc:830754]
AT5G08550,AT5G08550.1,GC-rich sequence DNA-binding factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830755]
AT5G08560,AT5G08560.1,transducin family protein / WD-40 repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:830756]
AT5G08565,AT5G08565.1,Transcription initiation Spt4-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830757]
AT5G08570,AT5G08570.1,Pyruvate kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830758]
AT5G08580,AT5G08580.1,Calcium-binding EF hand family protein [Source:NCBI gene (formerly Entrezgene);Acc:830759]
AT5G08590,AT5G08590.1,SNF1-related protein kinase 2.1 [Source:NCBI gene (formerly Entrezgene);Acc:830760]
AT5G08600,AT5G08600.2,U3 ribonucleoprotein (Utp) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830761]
AT5G08610,AT5G08610.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830762]
AT5G08620,AT5G08620.1,DEA(D/H)-box RNA helicase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830763]
AT5G08630,AT5G08630.1,DDT domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830764]
AT5G08640,AT5G08640.1,flavonol synthase 1 [Source:NCBI gene (formerly Entrezgene);Acc:830765]
AT5G08650,AT5G08650.1,Small GTP-binding protein [Source:NCBI gene (formerly Entrezgene);Acc:830766]
AT5G08660,AT5G08660.1,D-lactate dehydrogenase (DUF668) [Source:NCBI gene (formerly Entrezgene);Acc:830767]
AT5G08670,AT5G08670.1,ATP synthase alpha/beta family protein [Source:NCBI gene (formerly Entrezgene);Acc:830768]
AT5G08680,AT5G08680.1,ATP synthase alpha/beta family protein [Source:NCBI gene (formerly Entrezgene);Acc:830769]
AT5G08690,AT5G08690.1,ATP synthase alpha/beta family protein [Source:NCBI gene (formerly Entrezgene);Acc:830770]
AT5G08695,AT5G08695.1,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:6241377]
AT5G08710,AT5G08710.1,Regulator of chromosome condensation (RCC1) family protein [Source:NCBI gene (formerly Entrezgene);Acc:830771]
AT5G08712,AT5G08712.1,ath-MIR166c [Source:miRBase;Acc:MI0000203]
AT5G08717,AT5G08717.1,ath-MIR166d [Source:miRBase;Acc:MI0000204]
AT5G08720,AT5G08720.1,polyketide cyclase/dehydrase/lipid transporter [Source:NCBI gene (formerly Entrezgene);Acc:830772]
AT5G08730,AT5G08730.1,IBR domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:830774]
AT5G08740,AT5G08740.1,NAD(P)H dehydrogenase C1 [Source:NCBI gene (formerly Entrezgene);Acc:830775]
AT5G08750,AT5G08750.3,RING/FYVE/PHD zinc finger superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830776]
AT5G08760,AT5G08760.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:5008204]
AT5G08770,AT5G08770.1,topoisomerase I damage affected-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830777]
AT5G08780,AT5G08780.1,winged-helix DNA-binding transcription factor family protein [Source:NCBI gene (formerly Entrezgene);Acc:830778]
AT5G08790,AT5G08790.1,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830779]
AT5G09210,AT5G09210.1,GC-rich sequence DNA-binding factor-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830780]
AT5G09220,AT5G09220.1,amino acid permease 2 [Source:NCBI gene (formerly Entrezgene);Acc:830781]
AT5G09225,AT5G09225.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:2745982]
AT5G09230,AT5G09230.7,sirtuin 2 [Source:NCBI gene (formerly Entrezgene);Acc:830782]
AT5G09240,AT5G09240.2,ssDNA-binding transcriptional regulator [Source:NCBI gene (formerly Entrezgene);Acc:830783]
AT5G09250,AT5G09250.1,ssDNA-binding transcriptional regulator [Source:NCBI gene (formerly Entrezgene);Acc:830784]
AT5G09260,AT5G09260.1,vacuolar protein sorting-associated protein 20.2 [Source:NCBI gene (formerly Entrezgene);Acc:830785]
AT5G09270,AT5G09270.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:830786]
AT5G09280,AT5G09280.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830787]
AT5G09290,AT5G09290.1,Inositol monophosphatase family protein [Source:NCBI gene (formerly Entrezgene);Acc:830788]
AT5G09300,AT5G09300.1,Thiamin diphosphate-binding fold (THDP-binding) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830789]
AT5G09310,AT5G09310.1,gamma-secretase subunit [Source:NCBI gene (formerly Entrezgene);Acc:830790]
AT5G09320,AT5G09320.1,vacuolar protein sorting-associated 9A-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830791]
AT5G09330,AT5G09330.1,NAC domain containing protein 82 [Source:NCBI gene (formerly Entrezgene);Acc:830792]
AT5G09340,AT5G09340.1,Ubiquitin family protein [Source:NCBI gene (formerly Entrezgene);Acc:830793]
AT5G09345,AT5G09345.1,""
AT5G09350,AT5G09350.1,phosphatidylinositol 4-OH kinase beta2 [Source:NCBI gene (formerly Entrezgene);Acc:830794]
AT5G09360,AT5G09360.1,laccase 14 [Source:NCBI gene (formerly Entrezgene);Acc:830795]
AT5G09370,AT5G09370.1,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830796]
AT5G09380,AT5G09380.1,RNA polymerase III RPC4 [Source:NCBI gene (formerly Entrezgene);Acc:830797]
AT5G09390,AT5G09390.1,CD2-binding protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:830798]
AT5G09400,AT5G09400.1,K+ uptake permease 7 [Source:NCBI gene (formerly Entrezgene);Acc:830799]
AT5G09410,AT5G09410.3,ethylene induced calmodulin binding protein [Source:NCBI gene (formerly Entrezgene);Acc:830800]
AT5G09420,AT5G09420.1,translocon at the outer membrane of chloroplasts 64-V [Source:NCBI gene (formerly Entrezgene);Acc:830801]
AT5G09430,AT5G09430.1,alpha/beta-Hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:830802]
AT5G09440,AT5G09440.1,EXORDIUM like 4 [Source:NCBI gene (formerly Entrezgene);Acc:830803]
